('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569302 function calls (546289 primitive calls) in 6.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      268    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
      812    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      191    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
    201/3    0.001    0.000    0.222    0.074 <frozen importlib._bootstrap>:1022(_find_and_load)
     4193    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6061    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     3665    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      191    0.001    0.000    0.114    0.001 sre_compile.py:759(compile)
      424    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     1255    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
     7687    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      150    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1358    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     6309    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      178    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    178/3    0.001    0.000    0.221    0.074 <frozen importlib._bootstrap>:664(_load_unlocked)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      279    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
     2731    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1001    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     1255    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
     2464    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      877    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
    200/3    0.001    0.000    0.222    0.074 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       11    0.001    0.000    0.184    0.017 {method 'join' of 'bytes' objects}
     4996    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      191    0.001    0.000    0.072    0.000 sre_parse.py:937(parse)
     4993    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
     2180    0.001    0.000    0.005    0.000 {built-in method builtins.next}
       12    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       33    0.000    0.000    0.004    0.000 response.py:85(decompress)
      424    0.000    0.000    0.002    0.000 element.py:932(__new__)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      268    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      719    0.000    0.000    0.001    0.000 typing.py:972(__setattr__)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1965    0.000    0.000    0.000    0.000 element.py:1882(descendants)
     1256    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      150    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     1847    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      339    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      595    0.000    0.000    0.004    0.000 enum.py:359(__call__)
    152/1    0.000    0.000    6.184    6.184 {built-in method builtins.exec}
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      155    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
       18    0.000    0.000    0.512    0.028 __init__.py:1(<module>)
      861    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      877    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    150/3    0.000    0.000    0.221    0.074 <frozen importlib._bootstrap_external>:877(exec_module)
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      330    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      191    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      150    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1188    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      424    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
  213/177    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      145    0.000    0.000    0.648    0.004 ssl.py:1262(recv_into)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       88    0.000    0.000    0.002    0.000 typing.py:1002(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
     1386    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      585    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      178    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1255    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      145    0.000    0.000    0.649    0.004 socket.py:691(readinto)
      920    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      719    0.000    0.000    0.000    0.000 typing.py:921(_is_dunder)
  595/580    0.000    0.000    0.003    0.000 typing.py:305(inner)
     1664    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      728    0.000    0.000    0.000    0.000 element.py:1456(get)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      426    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      731    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
  619/589    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      171    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      959    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      145    0.000    0.000    0.648    0.004 ssl.py:1120(read)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      428    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      322    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      316    0.000    0.000    0.000    0.000 types.py:176(__get__)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1379    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      197    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      742    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
    227/3    0.000    0.000    0.221    0.074 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
     1718    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1335    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
