('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      191    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      812    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
    201/3    0.001    0.000    0.219    0.073 <frozen importlib._bootstrap>:1022(_find_and_load)
     6046    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4193    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      191    0.001    0.000    0.113    0.001 sre_compile.py:759(compile)
     3665    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1255    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
      424    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
     7687    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1358    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     6309    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      178    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    178/3    0.001    0.000    0.218    0.073 <frozen importlib._bootstrap>:664(_load_unlocked)
      150    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
     1255    0.001    0.000    0.001    0.000 element.py:1284(is_empty_element)
      279    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
     2731    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       17    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       11    0.001    0.000    0.180    0.016 {method 'join' of 'bytes' objects}
     2464    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1001    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      877    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
    200/3    0.001    0.000    0.219    0.073 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      191    0.001    0.000    0.071    0.000 sre_parse.py:937(parse)
     2180    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     4995    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4993    0.001    0.000    0.001    0.000 element.py:1499(__bool__)
       77    0.000    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
       12    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
      300    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      424    0.000    0.000    0.002    0.000 element.py:932(__new__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      268    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      719    0.000    0.000    0.001    0.000 typing.py:972(__setattr__)
      242    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       33    0.000    0.000    0.005    0.000 response.py:85(decompress)
     1965    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
     1256    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
      150    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     1847    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      595    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
       18    0.000    0.000    0.506    0.028 __init__.py:1(<module>)
      155    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      877    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      861    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      339    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
    150/3    0.000    0.000    0.218    0.073 <frozen importlib._bootstrap_external>:877(exec_module)
      330    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1188    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1256    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
    152/1    0.000    0.000    1.194    1.194 {built-in method builtins.exec}
      145    0.000    0.000    0.705    0.005 ssl.py:1262(recv_into)
      150    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
  213/177    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      191    0.000    0.000    0.041    0.000 sre_compile.py:598(_code)
      145    0.000    0.000    0.705    0.005 socket.py:691(readinto)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      424    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
     2462    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      178    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      585    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1386    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       88    0.000    0.000    0.002    0.000 typing.py:1002(__init__)
     1255    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      920    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  595/580    0.000    0.000    0.003    0.000 typing.py:305(inner)
      719    0.000    0.000    0.000    0.000 typing.py:921(_is_dunder)
     1664    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
