('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         661467 function calls (635819 primitive calls) in 1.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.001    0.000    0.027    0.001 element.py:780(_find_all)
     2873    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
      243    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1085    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     5653    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       26    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      271    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     1255    0.001    0.000    0.010    0.000 __init__.py:729(handle_endtag)
      432    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
3092/3091    0.001    0.000    0.006    0.000 {built-in method builtins.next}
    271/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap>:664(_load_unlocked)
     5914    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       28    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     4275    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
  299/298    0.001    0.000    0.003    0.000 _readers.py:137(__call__)
      728    0.001    0.000    0.001    0.000 element.py:1456(get)
      811    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
        2    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
    295/4    0.001    0.000    0.297    0.074 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
1560/1511    0.001    0.000    0.017    0.000 typing.py:305(inner)
     3244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      193    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      157    0.001    0.000    0.001    0.000 _events.py:31(__init__)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     3028    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      193    0.001    0.000    0.135    0.001 sre_compile.py:759(compile)
     8526    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       15    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      424    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      457    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
     5911    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
     1255    0.001    0.000    0.011    0.000 _htmlparser.py:171(handle_endtag)
     1173    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
     1497    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     6636    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      300    0.001    0.000    0.007    0.000 _connection.py:382(next_event)
       29    0.001    0.000    0.744    0.026 __init__.py:1(<module>)
       15    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
     1005    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     6309    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      269    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      486    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
      243    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      367    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
